City,Resource,Year,Month,Usage
Kuala Lumpur,Water,2020,1,18286.17
Kuala Lumpur,Water,2020,2,18760.07
Kuala Lumpur,Water,2020,3,17219.6
Kuala Lumpur,Water,2020,4,17164.13
Kuala Lumpur,Water,2020,5,18858.72
Kuala Lumpur,Water,2020,6,19821.79
Kuala Lumpur,Water,2020,7,17028.32
Kuala Lumpur,Water,2020,8,17952.72
Kuala Lumpur,Water,2020,9,19849.49
Kuala Lumpur,Water,2020,10,17850.45
Kuala Lumpur,Water,2020,11,18588.32
Kuala Lumpur,Water,2020,12,21678.99
Kuala Lumpur,Water,2021,1,19336.17
Kuala Lumpur,Water,2021,2,17508.46
Kuala Lumpur,Water,2021,3,18994.69
Kuala Lumpur,Water,2021,4,16531.16
Kuala Lumpur,Water,2021,5,18916.48
Kuala Lumpur,Water,2021,6,19414.67
Kuala Lumpur,Water,2021,7,18195.35
Kuala Lumpur,Water,2021,8,15946.75
Kuala Lumpur,Water,2021,9,17729.61
Kuala Lumpur,Water,2021,10,17798.53
Kuala Lumpur,Water,2021,11,17372.84
Kuala Lumpur,Water,2021,12,18622.53
Kuala Lumpur,Water,2022,1,16894.88
Kuala Lumpur,Water,2022,2,18361.03
Kuala Lumpur,Water,2022,3,19675.46
Kuala Lumpur,Water,2022,4,16930.98
Kuala Lumpur,Water,2022,5,17045.56
Kuala Lumpur,Water,2022,6,20012.62
Kuala Lumpur,Water,2022,7,16250.84
Kuala Lumpur,Water,2022,8,18930.64
Kuala Lumpur,Water,2022,9,19849.78
Kuala Lumpur,Water,2022,10,18186.13
Kuala Lumpur,Water,2022,11,17062.35
Kuala Lumpur,Water,2022,12,19709.06
Kuala Lumpur,Water,2023,1,16282.16
Kuala Lumpur,Water,2023,2,17740.27
Kuala Lumpur,Water,2023,3,19247.34
Kuala Lumpur,Water,2023,4,18764.52
Kuala Lumpur,Water,2023,5,18903.54
Kuala Lumpur,Water,2023,6,18691.66
Kuala Lumpur,Water,2023,7,17308.63
Kuala Lumpur,Water,2023,8,18923.94
Kuala Lumpur,Water,2023,9,19838.75
Kuala Lumpur,Water,2023,10,17354.39
Kuala Lumpur,Water,2023,11,16993.16
Kuala Lumpur,Water,2023,12,19906.87
Kuala Lumpur,Water,2024,1,18715.05
Kuala Lumpur,Water,2024,2,17888.95
Kuala Lumpur,Water,2024,3,18484.41
Kuala Lumpur,Water,2024,4,18755.61
Kuala Lumpur,Water,2024,5,18522.35
Kuala Lumpur,Water,2024,6,20240.3
Kuala Lumpur,Water,2024,7,16059.7
Kuala Lumpur,Water,2024,8,17079.87
Kuala Lumpur,Water,2024,9,21227.45
Kuala Lumpur,Water,2024,10,17752.31
Kuala Lumpur,Water,2024,11,17970.98
Kuala Lumpur,Water,2024,12,22318.58
Kuala Lumpur,Water,2025,1,17755.98
Kuala Lumpur,Water,2025,2,16856.53
Kuala Lumpur,Water,2025,3,18862.23
Kuala Lumpur,Electricity,2020,1,49140.84
Kuala Lumpur,Electricity,2020,2,48736.81
Kuala Lumpur,Electricity,2020,3,46984.59
Kuala Lumpur,Electricity,2020,4,46594.51
Kuala Lumpur,Electricity,2020,5,47958.74
Kuala Lumpur,Electricity,2020,6,52855.75
Kuala Lumpur,Electricity,2020,7,44903.44
Kuala Lumpur,Electricity,2020,8,43793.89
Kuala Lumpur,Electricity,2020,9,48822.16
Kuala Lumpur,Electricity,2020,10,41692.91
Kuala Lumpur,Electricity,2020,11,43082.85
Kuala Lumpur,Electricity,2020,12,55520.02
Kuala Lumpur,Electricity,2021,1,43040.24
Kuala Lumpur,Electricity,2021,2,46282.25
Kuala Lumpur,Electricity,2021,3,45629.17
Kuala Lumpur,Electricity,2021,4,40879.73
Kuala Lumpur,Electricity,2021,5,43892.73
Kuala Lumpur,Electricity,2021,6,47210.31
Kuala Lumpur,Electricity,2021,7,47286.12
Kuala Lumpur,Electricity,2021,8,46847.48
Kuala Lumpur,Electricity,2021,9,44476.71
Kuala Lumpur,Electricity,2021,10,46287.63
Kuala Lumpur,Electricity,2021,11,47489.49
Kuala Lumpur,Electricity,2021,12,51084.29
